cohort,seed,mode,iteration,objective_value,best_objective,students_served,temperature
100,42,Mode A,20.0,929755.39,929755.39,96.0,667.607972
100,42,Mode A,30.0,939770.87,939770.87,97.0,545.484319
100,42,Mode A,40.0,959750.77,959750.77,99.0,445.700404
100,42,Mode A,50.0,959750.77,959750.77,99.0,364.16968
100,42,Mode A,60.0,959750.77,959750.77,99.0,297.553143
100,42,Mode A,70.0,969758.88,969758.88,100.0,243.122581
100,42,Mode A,80.0,969758.88,969758.88,100.0,198.64885
100,42,Mode A,90.0,969758.88,969758.88,100.0,162.310574
100,42,Mode A,100.0,969758.88,969758.88,100.0,132.619556
100,42,Mode A,110.0,969758.88,969758.88,100.0,108.359833
100,42,Mode A,120.0,969758.88,969758.88,100.0,88.537873
100,42,Mode A,130.0,969758.88,969758.88,100.0,72.341888
100,42,Mode A,140.0,969758.88,969758.88,100.0,59.10859
100,42,Mode A,150.0,969758.88,969758.88,100.0,48.296021
100,42,Mode A,160.0,969758.88,969758.88,100.0,39.461366
100,42,Mode B,10.0,684829.64,684829.64,71.0,817.072807
100,42,Mode B,20.0,764829.95,764829.95,79.0,667.607972
100,42,Mode B,30.0,834829.82,834829.82,86.0,545.484319
100,42,Mode B,40.0,844824.97,844824.97,87.0,445.700404
100,42,Mode B,50.0,914820.08,914820.08,94.0,364.16968
100,42,Mode B,60.0,934831.59,934831.59,96.0,297.553143
100,42,Mode B,70.0,934831.59,934831.59,96.0,243.122581
100,42,Mode B,80.0,934831.59,934831.59,96.0,198.64885
100,42,Mode B,90.0,934831.59,934831.59,96.0,162.310574
100,42,Mode B,100.0,944822.27,944822.27,97.0,132.619556
100,42,Mode B,110.0,944822.27,944822.27,97.0,108.359833
100,42,Mode B,120.0,944822.27,944822.27,97.0,88.537873
100,42,Mode B,130.0,944822.27,944822.27,97.0,72.341888
100,42,Mode B,140.0,944822.27,944822.27,97.0,59.10859
100,42,Mode B,150.0,944822.27,944822.27,97.0,48.296021
100,42,Mode B,160.0,944822.27,944822.27,97.0,39.461366
100,42,Mode B,170.0,944822.27,944822.27,97.0,32.242809
100,42,Mode B,180.0,944822.27,944822.27,97.0,26.344722
100,42,Mode B,190.0,944822.27,944822.27,97.0,21.525556
100,42,Mode C,10.0,619747.36,619747.36,65.0,817.072807
100,42,Mode C,20.0,689690.16,689690.16,72.0,667.607972
100,42,Mode C,30.0,769693.43,769693.43,80.0,545.484319
100,42,Mode C,40.0,829696.06,829696.06,86.0,445.700404
100,42,Mode C,50.0,839702.97,839702.97,87.0,364.16968
100,42,Mode C,60.0,859693.7,859693.7,89.0,297.553143
100,42,Mode C,70.0,899688.56,899688.56,93.0,243.122581
100,42,Mode C,80.0,909685.68,909685.68,94.0,198.64885
100,42,Mode C,90.0,909685.68,909685.68,94.0,162.310574
100,42,Mode C,100.0,919679.43,919679.43,95.0,132.619556
100,42,Mode C,110.0,919679.43,919679.43,95.0,108.359833
100,42,Mode C,120.0,919679.43,919679.43,95.0,88.537873
100,42,Mode C,130.0,919679.43,919679.43,95.0,72.341888
100,42,Mode C,140.0,919679.43,919679.43,95.0,59.10859
100,42,Mode C,150.0,919679.43,919679.43,95.0,48.296021
100,42,Mode C,160.0,919689.88,919689.88,95.0,39.461366
100,42,Mode C,170.0,919689.88,919689.88,95.0,32.242809
100,42,Mode C,180.0,919689.88,919689.88,95.0,26.344722
100,42,Mode C,190.0,919689.88,919689.88,95.0,21.525556
100,42,Mode C,200.0,919689.88,919689.88,95.0,17.587947
100,42,Mode C,210.0,919689.88,919689.88,95.0,14.370633
100,42,Mode C,220.0,919689.88,919689.88,95.0,11.741853
100,42,Mode C,230.0,919689.88,919689.88,95.0,9.593949
100,42,Mode C,240.0,919689.88,919689.88,95.0,7.838955
